"EmployeeNumber","EnvironmentSatisfaction","JobInvolvement","JobSatisfaction","WorkLifeBalance"
"1733","2","2","1","3"
"1735","3","3","2","1"
"1746","1","3","4","3"
"1747","3","2","4","2"
"1749","1","3","3","3"
"1751","3","3","4","2"
"1752","2","1","2","3"
"1753","4","4","3","4"
"1775","1","2","3","2"
"1779","4","1","4","3"
"1786","1","3","3","3"
"1787","2","2","2","3"
"1801","2","2","2","3"
"1813","1","3","3","2"
"1814","2","4","2","1"
"1833","1","3","1","3"
"1834","3","3","1","3"
"1835","2","1","4","2"
"1837","1","3","3","3"
"1844","1","2","1","3"
"1856","2","3","3","3"
"1858","3","3","4","3"
"1862","3","2","2","2"
"1871","4","3","4","3"
"1873","2","2","4","4"
"1883","4","3","1","3"
"1886","4","2","2","3"
"1905","4","1","1","3"
"1907","1","3","4","3"
"1908","3","2","2","1"
"1912","3","3","4","3"
"1915","4","2","4","2"
"1916","1","4","3","2"
"1922","2","3","3","3"
"1929","1","1","3","3"
"1940","2","3","4","4"
"1948","3","3","1","4"
"1968","1","3","1","2"
"1972","4","3","2","3"
"1980","3","3","1","3"
"1982","4","3","4","4"
"1992","4","3","3","2"
"1996","1","3","3","3"
"2003","4","3","3","3"
"2007","4","3","3","4"
"2010","3","2","2","3"
"2013","2","2","2","3"
"2021","3","3","1","3"
"2025","4","3","2","3"
"2027","1","3","4","4"
"2038","4","3","1","3"
"2048","3","2","3","3"
"2049","3","3","3","4"
"2055","4","2","1","3"
"2060","4","2","3","3"
"2061","3","4","4","3"
"2064","2","4","2","3"
"39","3","3","4","3"
"51","2","2","1","4"
"95","3","3","2","3"
"169","3","3","4","3"
"224","3","2","3","2"
"242","3","3","4","4"
"286","2","3","4","3"
"340","3","2","1","2"
"359","2","4","2","1"
"408","4","1","2","3"
"431","3","2","3","3"
"496","3","2","2","3"
"511","1","3","2","3"
"612","1","4","3","3"
"650","2","3","1","1"
"684","1","3","1","3"
"730","3","4","3","3"
"757","2","3","3","3"
"843","2","3","1","3"
"869","2","2","4","3"
"875","2","3","4","3"
"933","2","3","3","3"
"964","4","3","2","3"
"970","1","2","3","1"
"974","3","3","4","3"
"1006","3","3","3","2"
"1047","2","4","4","2"
"1055","3","3","3","3"
"1061","2","3","3","2"
"1107","1","3","3","2"
"1154","3","2","3","3"
"1175","3","3","4","2"
"1180","3","2","4","1"
"1193","3","3","1","3"
"1226","3","4","4","3"
"1239","2","2","2","4"
"1248","1","2","2","4"
"1254","3","2","4","3"
"1321","2","3","1","3"
"1465","2","3","4","4"
"1474","3","3","3","4"
"1479","4","3","3","2"
"1551","3","2","1","3"
"1555","4","2","2","3"
"1604","3","3","2","3"
"1757","4","3","4","4"
"1760","3","2","2","2"
"1789","3","3","4","3"
"1807","4","3","1","2"
"1812","3","3","4","3"
"1818","4","3","2","3"
"1830","4","3","4","2"
"1890","2","2","4","2"
"1939","1","4","3","3"
"1955","3","3","4","3"
"1960","3","2","4","2"
"1994","2","2","3","2"
"4","4","2","3","3"
"10","3","4","1","2"
"11","4","3","3","3"
"22","4","4","4","2"
"30","3","3","4","3"
"41","4","2","3","3"
"42","4","3","4","4"
"45","2","3","4","2"
"53","3","3","4","3"
"54","4","3","1","3"
"55","1","1","3","2"
"61","2","3","2","3"
"63","4","4","4","3"
"64","1","2","3","3"
"70","3","2","1","3"
"84","4","3","3","3"
"86","2","3","1","3"
"90","4","2","3","2"
"97","2","4","4","3"
"101","4","3","1","4"
"106","1","3","4","3"
"113","3","3","1","3"
"134","4","3","1","3"
"137","4","2","4","3"
"139","3","2","4","4"
"144","2","3","4","3"
"151","3","2","2","3"
"155","1","3","4","3"
"167","4","3","3","2"
"200","3","3","1","3"
"201","2","3","2","3"
"211","2","2","3","3"
"214","2","2","2","2"
"235","3","1","1","4"
"243","2","2","4","2"
"261","2","2","3","3"
"271","4","3","3","3"
"282","2","3","1","3"
"298","4","3","4","3"
"309","3","2","4","3"
"323","4","3","4","2"
"334","3","3","1","2"
"336","3","4","4","3"
"342","1","3","3","3"
"353","3","3","4","2"
"364","1","3","3","1"
"366","1","2","2","3"
"367","2","2","4","3"
"382","1","4","1","3"
"392","4","3","3","1"
"397","3","3","2","3"
"405","3","3","3","3"
"407","3","4","4","3"
"411","4","2","3","3"
"445","4","3","3","2"
"451","3","3","1","2"
"467","2","3","3","3"
"468","1","3","4","3"
"471","3","3","2","3"
"473","1","3","3","1"
"477","1","2","4","3"
"479","4","3","4","3"
"485","4","3","3","3"
"487","3","3","3","4"
"494","3","4","2","3"
"508","3","3","2","3"
"514","3","3","4","3"
"518","3","3","2","2"
"521","2","2","3","3"
"536","3","3","1","3"
"556","4","3","4","3"
"566","1","2","4","4"
"568","1","2","4","2"
"574","1","3","4","3"
"578","3","3","3","3"
"587","1","3","3","3"
"614","2","3","2","3"
"615","3","1","1","3"
"618","1","3","3","3"
"622","3","1","4","1"
"634","3","3","3","3"
"643","4","2","2","3"
"648","2","2","1","4"
"656","4","3","3","2"
"657","4","2","2","4"
"661","2","2","4","2"
"662","3","3","1","2"
"677","3","3","3","3"
"680","3","3","3","3"
"690","2","3","3","2"
"701","4","3","3","3"
"704","3","2","3","3"
"715","4","4","4","3"
"743","3","3","3","4"
"749","3","3","3","3"
"771","4","3","1","4"
"773","4","3","3","1"
"775","2","3","1","3"
"811","3","4","1","3"
"812","3","2","2","3"
"816","2","2","1","3"
"832","1","2","3","3"
"833","3","2","4","2"
"834","2","2","3","3"
"850","4","3","4","2"
"868","4","2","3","3"
"882","4","3","4","3"
"897","1","3","4","3"
"904","1","3","2","3"
"911","1","3","4","1"
"918","4","2","4","2"
"920","1","3","2","4"
"923","4","3","4","2"
"934","2","3","2","3"
"940","3","2","2","3"
"945","4","3","3","2"
"951","3","2","2","3"
"952","3","2","2","3"
"954","1","2","2","2"
"959","4","2","2","4"
"960","1","3","1","3"
"969","2","2","4","3"
"977","4","3","3","3"
"986","2","4","2","2"
"994","4","2","1","3"
"1003","4","3","4","3"
"1012","2","3","4","3"
"1016","4","2","1","3"
"1029","4","3","3","4"
"1030","1","3","4","3"
"1033","1","1","2","1"
"1036","2","3","4","3"
"1052","1","3","3","2"
"1056","4","3","2","3"
"1076","3","2","4","3"
"1079","3","2","1","2"
"1081","1","3","3","4"
"1105","4","2","4","3"
"1111","1","2","2","3"
"1113","4","3","3","3"
"1115","3","2","4","3"
"1125","4","3","2","3"
"1148","2","1","4","3"
"1156","3","3","3","3"
"1158","2","3","4","3"
"1172","4","2","3","3"
"1190","3","3","1","3"
"1203","3","2","4","3"
"1206","4","1","3","3"
"1210","1","2","1","1"
"1212","2","3","2","3"
"1219","4","3","2","1"
"1242","1","3","1","3"
"1256","1","2","3","4"
"1258","4","4","2","2"
"1260","3","3","4","3"
"1263","4","2","4","4"
"1265","3","4","3","2"
"1269","2","4","4","3"
"1270","4","3","3","3"
"1273","3","1","4","3"
"1292","2","4","2","3"
"1297","2","2","3","2"
"1306","2","3","2","3"
"1364","3","4","4","3"
"1368","4","3","4","4"
"1379","3","2","4","4"
"1427","2","1","3","3"
"1433","1","2","2","4"
"1434","2","3","1","4"
"1458","1","2","1","4"
"1481","1","3","3","2"
"1482","3","3","3","2"
"1492","4","3","3","3"
"1494","2","3","1","2"
"1495","4","3","2","3"
"1504","3","2","1","2"
"1506","1","2","3","1"
"1515","4","3","3","3"
"1525","2","3","2","3"
"1542","3","2","2","3"
"1558","3","4","3","2"
"1564","4","2","1","3"
"1569","1","3","1","3"
"1577","1","3","4","1"
"1581","1","3","4","3"
"1585","2","3","3","3"
"1591","3","3","3","3"
"1595","4","2","4","3"
"1601","3","2","4","2"
"1602","4","4","1","1"
"1624","2","3","4","4"
"1669","1","2","2","2"
"1673","1","3","4","3"
"1678","4","3","3","3"
"1687","4","3","3","2"
"1692","4","3","2","3"
"1697","3","1","4","4"
"1714","4","1","3","3"
"1724","2","3","1","3"
"1729","2","3","4","2"
"1731","3","3","2","1"
"1734","1","1","2","3"
"1744","3","1","3","4"
"1755","4","4","4","3"
"1758","1","3","1","2"
"1761","1","3","3","3"
"1762","4","2","1","3"
"1763","3","4","3","3"
"1766","2","1","4","3"
"1767","3","2","3","3"
"1770","3","2","1","3"
"1780","2","3","2","3"
"1783","3","3","1","3"
"1794","3","3","2","2"
"1803","2","4","1","2"
"1839","2","3","3","1"
"1842","4","4","1","3"
"1847","4","3","2","3"
"1853","4","3","4","4"
"1859","4","1","3","3"
"1860","4","3","3","3"
"1865","4","2","2","3"
"1868","4","2","4","2"
"1875","2","3","2","3"
"1876","2","3","4","2"
"1878","4","3","2","3"
"1893","2","2","3","2"
"1903","2","4","1","3"
"1928","3","4","1","3"
"1933","4","3","3","3"
"1935","4","2","1","3"
"1936","1","3","1","3"
"1938","4","3","4","2"
"1943","2","3","4","3"
"1944","1","2","2","3"
"1961","1","2","1","2"
"1966","4","2","4","3"
"1974","4","1","4","3"
"1987","3","3","2","3"
"2012","1","3","4","2"
"2022","4","3","4","2"
"2023","4","3","1","2"
"2040","3","3","4","3"
